claim_number,contract_id,adjuster,site_name,department,brings_to_closure,consultant,contract_start,contract_end,contract_category,bid_approval_date,bid_type,contract_type,base_price,amendments_total,paid_to_date,notes,contract_year,total_contract_value,is_bid_to_result,is_scope_of_work,auction_type,brings_to_closure_flag
19950322,19950322001,"Headdings,Kyle",A&B Truck Plaza,Pilot Travel Ctr 348,Yes,"Letterle & Associates Inc,",2008-03-20,2009-12-31,Sole Source,NA,NA,Fixed Price,62461.88,10441,46684,60% proration                                            12/31/09 new conditions triggered development of new contract to closure,2008,72902.88,FALSE,FALSE,Other/Unknown,TRUE
19950322,19950322002,"Headdings,Kyle",A&B Truck Plaza,Pilot Travel Ctr 348,Yes,"Letterle & Associates Inc,",2009-12-31,NA,Sole Source,NA,NA,Fixed Price,148162.72,322366.51,326764.56,60% proration,2009,470529.23,FALSE,FALSE,Other/Unknown,TRUE
19950331,19950331001,"Marion,Shane",Bitners Exxon,Bitners Exxon,Yes,"Mountain Research LLC,",2007-10-01,2016-11-18,Sole Source,NA,NA,Fixed Price,425502.72,-6705.48,404405.97,"11/18/16 final milestone paid.  cw
Amendment #1 decreases contract to $418,797.24; original milestones C1-C8 were replaced with decreased amounts.",2007,418797.24,FALSE,FALSE,Other/Unknown,TRUE
19950370,19950370001,"Ferro,James",Spencer Keystone R0011(M389),Kwik Fill M0389,No,"American Environmental Assoc Inc,",2008-10-30,2012-11-13,Sole Source,NA,NA,Fixed Price,303060.56,0,295260.56,contract not completed - comp bid,2008,303060.56,FALSE,FALSE,Other/Unknown,FALSE
19950370,19950370002,"Ferro,James",Spencer Keystone R0011(M389),Kwik Fill M0389,Yes,"Compliance Environmental Services,",2014-03-27,2018-10-19,Competitively Bid,2012-04-26,Defined Scope of Work,Fixed Price,53930,0,41156.14,Final contract invoice processed  10/18/2018 03:57:23 PM (dcassel),2014,53930,FALSE,TRUE,Scope of Work,TRUE
19960021,19960021001,"Bollana,Debra",Kwik Fill M-002,Kwik Fill M 2,No,"Core Environmental Services, Inc.,",2011-10-13,2017-04-26,Competitively Bid,2010-06-17,Defined Scope of Work,Fixed Price,37506,89970,114513,"Mutually terminated due to new condition via letter dated 4/19/17 and fully executed 4/26/17  

4/28/2017 08:57:09 AM (dcassel)",2011,127476,FALSE,TRUE,Scope of Work,FALSE
19960024,19960024001,"Mackewicz,Bonnie",Marshall's Creek Service,Marshalls Creek Svc,Yes,"MEA, Inc.,",2013-07-22,NA,Sole Source,NA,NA,Fixed Price,166155.86,115485.81,240484.17,NA,2013,281641.67,FALSE,FALSE,Other/Unknown,TRUE
19960043,19960043001,"Bilder,Jack",Kwik Fill M-018,Kwik Fill M018,Yes,"Mountain Research LLC,",2008-07-07,2013-05-23,Competitively Bid,NA,Defined Scope of Work,Fixed Price,50081.5,0,39711.5,clean up was combined and completed under new claim 2012-086,2008,50081.5,FALSE,TRUE,Scope of Work,TRUE
19960044,19960044001,"Ferro,James",Kwik Fill M-168,Kwik Fill Mo 168 169,Yes,"Groundwater & Environmental Services, Inc.,",2007-06-25,2014-11-06,Sole Source,NA,NA,Fixed Price,201639,0,149319,Claim prorated at 90%./remainder of costs being handled under claim 08-098,2007,201639,FALSE,FALSE,Other/Unknown,TRUE
19960056,19960056001,"Marion,Shane",Kwik Fill S-010,Kwik Fill S 10,No,"Groundwater & Environmental Services, Inc.,",2006-08-04,2012-09-13,Sole Source,NA,NA,Pay for Performance,513000,0,370680.08,Terminated by GES,2006,513000,FALSE,FALSE,Other/Unknown,FALSE
19960064,19960064001,"Headdings,Kyle",Former Mazza Amoco,Mazza Amoco,No,"Letterle & Associates Inc,",2007-12-01,2010-02-09,Sole Source,NA,NA,Fixed Price,235999.04,100461.89,235999.04,NA,2007,336460.93,FALSE,FALSE,Other/Unknown,FALSE
19960064,19960064002,"Headdings,Kyle",Former Mazza Amoco,Mazza Amoco,Yes,"Letterle & Associates Inc,",2012-02-26,2023-05-02,Sole Source,NA,NA,Fixed Price,473097.91,223525.05,478116,"Mutually terminated.  Had been billing out of scope T&M since 2019.  New condition

5/15/2023 09:44:35 AM (dbollana)",2012,696622.96,FALSE,FALSE,Other/Unknown,TRUE
19960077,19960077001,"Marion,Shane",Squirrel Hill Automotive,SQUIRREL HILL AUTO,Yes,"Environmental Compliance Services, Inc.,",2005-12-24,2016-06-21,Competitively Bid,NA,Bid to Result,Pay for Performance,378283,0,378283,Contract transferred from Freedom Environmental Services to Environmental Compliance Services effective 11/12/12 when Freedom was acquired by ECS. (dac),2005,378283,TRUE,FALSE,Bid-to-Result,TRUE
19960083,19960083001,"Bilder,Jack",Gideons Amoco/Coen Oil,GIDEONS AMOCO,Yes,"Letterle & Associates Inc,",2008-03-06,2009-12-08,Sole Source,NA,NA,Fixed Price,58466.45,0,46091.76,"Claim is prorated at 75% USTIF Pd $34,568.82  Milestone H reduced to correct overpayment on Milestone F.  Milestone I1- no RAPR required by DEP.  Milestones I2-I4 not required.",2008,58466.45,FALSE,FALSE,Other/Unknown,TRUE
19960097,19960097001,"Headdings,Kyle",Frankfort Springs Amoco,Frankfort Springs Amoco,Yes,"Letterle & Associates Inc,",2008-07-28,NA,Sole Source,NA,NA,Fixed Price,671523.75,160038.24,653986.73,Milestone D - soil removed as clean fill,2008,831561.99,FALSE,FALSE,Other/Unknown,TRUE
19960102,19960102001,"Goodyear,Jennifer",Buffalo Valley Supply Co.,BUFFALO VALLEY SUPPLY CORP,No,"Gannett Fleming, Inc.,",2006-09-01,2007-05-10,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2006,0,FALSE,FALSE,Other/Unknown,FALSE
19960102,19960102002,"Goodyear,Jennifer",Buffalo Valley Supply Co.,BUFFALO VALLEY SUPPLY CORP,No,"Alternative Environmental Solutions Inc,",2010-07-23,2011-04-05,Competitively Bid,NA,Defined Scope of Work,Fixed Price,176283.75,0,157991.83,NA,2010,176283.75,FALSE,TRUE,Scope of Work,FALSE
19960116,19960116001,"Smith,Bethany",Dunbar Amoco,Route 119 Amoco,Yes,"Converse Consultants,",2013-08-01,2017-09-27,Competitively Bid,2012-05-21,Defined Scope of Work,Fixed Price,68630,30172,54107,Contract terminated after completion of SCR by mutual agreement; see IR investigation file signed agreement to terminate 11/22/2017 04:01:26 PM (dcassel),2013,98802,FALSE,TRUE,Scope of Work,TRUE
19960116,19960116002,"Smith,Bethany",Dunbar Amoco,Route 119 Amoco,Yes,"Core Environmental Services, Inc.,",2022-12-07,NA,Competitively Bid,2021-07-21,Defined Scope of Work,Fixed Price,85465,0,68731,NA,2022,85465,FALSE,TRUE,Scope of Work,TRUE
19960164,19960164001,"Mackewicz,Bonnie",Log Cabin Amoco,Log Cabin Svc,No,"Letterle & Associates Inc,",2008-12-04,2010-01-31,Sole Source,NA,NA,Fixed Price,44202.68,0,44082.68,NA,2008,44202.68,FALSE,FALSE,Other/Unknown,FALSE
19960164,19960164002,"Mackewicz,Bonnie",Log Cabin Amoco,Log Cabin Svc,No,"Letterle & Associates Inc,",2009-12-24,2023-07-19,Sole Source,NA,NA,Fixed Price,126582.05,0,55877.17,Mutually terminated.  Remaining milestone for well abandonment will not be performed as the wells are needed for a newer release. 7/25/2023 12:04:24 PM (dbollana),2009,126582.05,FALSE,FALSE,Other/Unknown,FALSE
19960240,19960240001,"Goodyear,Jennifer",Crossroads Food Mart #45,Crossroads 45,No,"Environmental Compliance Services, Inc.,",2014-04-21,2016-04-08,Sole Source,NA,NA,Fixed Price,247285.29,0,247285.29,Contract price does not include unit cost adders,2014,247285.29,FALSE,FALSE,Other/Unknown,FALSE
19960250,19960250001,"Bollana,Debra",Luke's Exxon,Lukes Exxon,No,"Cribbs & Associates, Inc.,",2021-10-27,2022-01-17,Sole Source,NA,NA,Fixed Price,74942.22,0,74942.22,"1/17/2022 01:54:56 PM (dbollana)

Final milestone invoice processed",2021,74942.22,FALSE,FALSE,Other/Unknown,FALSE
19960278,19960278001,"Goodyear,Jennifer",Turkey Hill #120,TURKEY HILL 120,Yes,"Onesky Engineering, Inc.,",2008-04-01,2009-04-20,Sole Source,NA,NA,Fixed Price,119250,0,119250,NA,2008,119250,FALSE,FALSE,Other/Unknown,TRUE
19960303,19960303001,"Marion,Shane","Fisher's Service, Inc.",FISHERS SVC,Yes,"Moody & Associates, Inc.,",2009-11-05,2013-10-02,Sole Source,NA,NA,Fixed Price,53174.76,4776.32,57951.08,NA,2009,57951.08,FALSE,FALSE,Other/Unknown,TRUE
19960307,19960307001,"Aubel,Tracy",Maries Svc.,Maries Svc,No,"Core Environmental Services, Inc.,",2011-11-15,2014-10-10,Competitively Bid,2010-06-24,Bid to Result,Fixed Price,45775.72,-4368.01,41407.71,"Amendment #1 dated 6/4/12 reduced total price to $41,407.71",2011,41407.71,TRUE,FALSE,Bid-to-Result,FALSE
19960307,19960307002,"Aubel,Tracy",Maries Svc.,Maries Svc,Yes,"DMS Environmental Services LLC,",2020-09-23,NA,Competitively Bid,2019-07-08,Defined Scope of Work,Fixed Price,222255.07,0,206865.32,NA,2020,222255.07,FALSE,TRUE,Scope of Work,TRUE
19960319,19960319001,"Goodyear,Jennifer",Citgo East,CITGO EAST,Yes,"MEA, Inc.,",2011-04-20,2013-12-30,Sole Source,NA,NA,Fixed Price,64169.47,0,64169.47,NA,2011,64169.47,FALSE,FALSE,Other/Unknown,TRUE
19960322,19960322001,"Cramer,Jolene",Snyder's Automotive Serv.,COGOS 900,Yes,"Letterle & Associates Inc,",2009-11-11,2012-05-09,Sole Source,NA,NA,Fixed Price,94789.49,0,57374.34,"Optional tasks could bring contract total to max of $94,789.49.",2009,94789.49,FALSE,FALSE,Other/Unknown,TRUE
19970059,19970059001,"Cramer,Jolene",Monessen Amoco,MONESSON AMOCO,Yes,"Letterle & Associates Inc,",2008-07-10,2014-06-24,Sole Source,NA,NA,Fixed Price,96608.82,42149.61,112957.12,NA,2008,138758.43,FALSE,FALSE,Other/Unknown,TRUE
19970070,19970070001,"Melvin, CPCU,Linda M.",Mt. Cobb Citgo,MT COBB SVC STA,Yes,"Austin James Associates,",2002-11-01,2006-06-19,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2002,0,FALSE,FALSE,Other/Unknown,TRUE
19970076,19970076001,"Marion,Shane",Dye's Service,DYES SVC,No,"Letterle & Associates Inc,",2007-12-28,2014-04-29,Sole Source,NA,NA,Fixed Price,354104,6820,298426.45,4/29/14 Contract no longer relavant per SM,2007,360924,FALSE,FALSE,Other/Unknown,FALSE
19970086,19970086001,"Kern,Beth",Tic Toc Food Mart #104,Tic Toc Food Mart 104,Yes,"Letterle & Associates Inc,",2005-04-01,2011-05-10,Sole Source,NA,NA,Pay for Performance,367800,0,128785,"128,785  Letterle terminated contract in a letter to claimant dated 5/10/11.",2005,367800,FALSE,FALSE,Other/Unknown,TRUE
19970086,19970086002,"Kern,Beth",Tic Toc Food Mart #104,Tic Toc Food Mart 104,Yes,"Juniata Geosciences LLC,",2012-09-24,2018-08-07,Competitively Bid,2011-06-14,Defined Scope of Work,Fixed Price,49651.82,0,43753.63,Found through invoice review that contract was mutually terminated on 8/7/18.  Closed contract job.  4/24/2019 11:20:20 AM (dbollana),2012,49651.82,FALSE,TRUE,Scope of Work,TRUE
19970093,19970093001,"Mackewicz,Bonnie","Sheehan Motors, Inc.",NICS TOBACCO OUTLET,No,"Converse Consultants,",2007-05-11,2010-11-12,Competitively Bid,NA,Defined Scope of Work,Fixed Price,25020,18578,38358,NA,2007,43598,FALSE,TRUE,Scope of Work,FALSE
19970093,19970093002,"Mackewicz,Bonnie","Sheehan Motors, Inc.",NICS TOBACCO OUTLET,Yes,"Converse Consultants,",2011-03-29,2017-06-27,Sole Source,NA,NA,Fixed Price,209699,6038,213619,final invoice authorized  6/27/2017 09:26:27 AM (dcassel),2011,215737,FALSE,FALSE,Other/Unknown,TRUE
19970125,19970125001,"Goodyear,Jennifer",Barnesboro Best,BARNESBORO BEST,Yes,"Environmental Alliance,",2011-08-22,2013-07-05,Competitively Bid,2009-10-13,Defined Scope of Work,Fixed Price,36641.95,0,25244.95,NA,2011,36641.95,FALSE,TRUE,Scope of Work,TRUE
19970130,19970130002,"Bollana,Debra",Big Dave's Svc Ctr/Former Al's Exxon,Big Daves Svc Ctr,No,"Cribbs & Associates, Inc.,",2013-09-16,2017-06-12,Sole Source,NA,NA,Fixed Price,69845,0,63540,"Per 5/17/16  email from Consultant, RAP to be completed as T&M.  6/12/2017 10:02:14 AM (dcassel)",2013,69845,FALSE,FALSE,Other/Unknown,FALSE
19970171,19970171001,"Headdings,Kyle",Hess #38517/Merit Oil,Hess 38517,No,"Monridge Environmental, LLC DBA JK Environmental Services, LLC,",2014-05-05,2016-06-08,Competitively Bid,2012-08-22,Defined Scope of Work,Fixed Price,19644,2220,16352,NA,2014,21864,FALSE,TRUE,Scope of Work,FALSE
19970175,19970175001,"Headdings,Kyle","Herr Foods, Inc.",Herr Foods,No,"Rettew Associates, Inc.,",2018-02-08,2019-03-28,Sole Source,NA,NA,Fixed Price,209810.9,0,155709.96,Final milestone invoice processed.  3/28/2019 04:07:11 PM (dbollana),2018,209810.9,FALSE,FALSE,Other/Unknown,FALSE
19970175,19970175002,"Headdings,Kyle","Herr Foods, Inc.",Herr Foods,Yes,"Environmental Alliance,",2019-06-19,NA,Competitively Bid,2018-07-18,Bid to Result,Fixed Price,456176.7,26020,446830.55,Draft RFB and RA complete  12/13/2018 01:58:12 PM (dbollana),2019,482196.7,TRUE,FALSE,Bid-to-Result,TRUE
19970230,19970230001,"Bilder,Jack",Lehigh Gas & Oil Company,LEHIGH GAS & OIL BULK PLT,Yes,"Environmental Consulting, Inc.,",2007-07-02,2009-05-25,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2007,0,FALSE,FALSE,Other/Unknown,TRUE
19970231,19970231001,"Bilder,Jack",Preferred Stop Mart,J & N BEAVER MEADOWS LLC,Yes,"Environmental Consulting, Inc.,",2007-07-02,2009-02-05,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2007,0,FALSE,FALSE,Other/Unknown,TRUE
19970237,19970237001,"Bilder,Jack",Kwik Fill M-103,KWIK FILL M0103,Yes,"Groundwater & Environmental Services, Inc.,",2008-04-04,2011-10-04,Competitively Bid,NA,Defined Scope of Work,Fixed Price,62374,0,51685,NA,2008,62374,FALSE,TRUE,Scope of Work,TRUE
19970240,19970240001,"Hawk,Gerald",Kwik Fill S-058,KWIK FILL S 58 200,Yes,"Groundwater & Environmental Services, Inc.,",2011-08-24,2015-04-15,Competitively Bid,2010-08-12,Defined Scope of Work,Fixed Price,33057.52,6850,34473.12,"Amendment #1 brings contract total to $36,307.52",2011,39907.52,FALSE,TRUE,Scope of Work,TRUE
19970243,19970243001,"Cramer,Jolene",Kwik Fill M-001,Kwik Fill M1,No,"Letterle & Associates Inc,",2007-08-23,2009-12-11,Competitively Bid,NA,Defined Scope of Work,Fixed Price,17304.98,109131.42,57050.92,NA,2007,126436.4,FALSE,TRUE,Scope of Work,FALSE
19970243,19970243002,"Cramer,Jolene",Kwik Fill M-001,Kwik Fill M1,Yes,"EnviroTrac, LTD,",2011-03-08,2015-06-29,Competitively Bid,2010-06-17,Defined Scope of Work,Fixed Price,65247.9,5934.17,60287.3,"Optional Task J increases contract price to $65,247.90  Amendment #1 changes contract price to $67,024.67 or $71,182.07 if optional task is necessary.",2011,71182.07,FALSE,TRUE,Scope of Work,TRUE
19970246,19970246001,"Aubel,Tracy",Honey Bear Mini Mart,HONEY BEAR MINI MART,No,"In-Site Group, Inc.,",2008-05-23,2010-08-05,Sole Source,NA,NA,Fixed Price,449666.3,0,394593.43,NA,2008,449666.3,FALSE,FALSE,Other/Unknown,FALSE
19970252,19970252001,"Mackewicz,Bonnie",Bay Front Sunoco,WAY 2 GO,Yes,"American Environmental Assoc Inc,",2012-12-03,2013-11-01,Sole Source,NA,NA,Fixed Price,23772.21,0,23772.21,NA,2012,23772.21,FALSE,FALSE,Other/Unknown,TRUE
19970256,19970256001,"Bilder,Jack",Mill Village Bulk Plant,MILL VILLAGE BULK PLT,Yes,"Environmental Remediation & Recovery, Inc.,",2008-01-24,2010-09-16,Sole Source,NA,NA,Fixed Price,33762.2,0,33762.2,NA,2008,33762.2,FALSE,FALSE,Other/Unknown,TRUE
19970336,19970336001,"Aubel,Tracy",Hy Way 808,Hy Way 62,No,"R.A.R. Engineering Group, Inc.,",2009-09-28,2012-04-04,Sole Source,NA,NA,Fixed Price,202281.65,0,197983.44,NA,2009,202281.65,FALSE,FALSE,Other/Unknown,FALSE
19970359,19970359001,"Aubel,Tracy",Franklins General Store,FRANKLINS GEN STORE,Yes,"American Environmental Assoc Inc,",2012-10-01,2014-06-02,Sole Source,2010-08-17,NA,Fixed Price,38406.7,0,36579.7,NA,2012,38406.7,FALSE,FALSE,Other/Unknown,TRUE
19970402,19970402001,"Goodyear,Jennifer",Borough of Middletown,MIDDLETOWN BORO DAUPHIN CNTY,No,"MEA, Inc.,",2010-08-05,2018-06-26,Competitively Bid,NA,Bid to Result,Fixed Price,277102,85237.14,342539.14,"Original contract amount: $279,707.00",2010,362339.14,TRUE,FALSE,Bid-to-Result,FALSE
19970405,19970405001,"Aubel,Tracy",Benick Service Station,Benick Svc Sta,No,"MEA, Inc.,",2014-06-04,2015-11-17,Competitively Bid,2013-07-11,Defined Scope of Work,Fixed Price,46658.22,27372.58,71446.77,NA,2014,74030.8,FALSE,TRUE,Scope of Work,FALSE
19980003,19980003001,"Smith,Bethany",Super Bright Car Wash (Formerly White Glove Car Wash),Amer Wash Svc,No,"Environmental Consulting, Inc.,",2005-12-15,2008-11-01,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2005,0,FALSE,FALSE,Other/Unknown,FALSE
19980003,19980003002,"Smith,Bethany",Super Bright Car Wash (Formerly White Glove Car Wash),Amer Wash Svc,Yes,"Environmental Consulting, Inc.,",2009-03-04,2017-01-09,Sole Source,NA,NA,Fixed Price,102085.8,22550.5,94344.5,See Bethany Smith file note dated 1/6/17; RA not longer valid as additional remediation is required and claim will reach limit  1/9/2017 11:27:42 AM (dcassel),2009,124636.3,FALSE,FALSE,Other/Unknown,TRUE
19980033,19980033002,"Goodyear,Jennifer",Exit 9 Sunoco,EXIT 9 SUNOCO,No,"Environmental Remediation & Recovery, Inc.,",2010-07-26,2011-05-03,Competitively Bid,NA,Defined Scope of Work,Time and Material,223706.43,0,223706.43,NA,2010,223706.43,FALSE,TRUE,Scope of Work,FALSE
19980061,19980061001,"Hawk,Gerald",Powells Citgo Service,POWELLS CITGO SVC,Yes,"Environmental Remediation & Recovery, Inc.,",2009-02-02,2010-07-27,Sole Source,NA,NA,Fixed Price,53011,0,53011,NA,2009,53011,FALSE,FALSE,Other/Unknown,TRUE
19980088,19980088001,"Ferro,James",Butler Township,BUTLER TWP GARAGE,No,"B&B Diversified Enterprises Inc,",2007-08-01,2008-12-04,Sole Source,NA,NA,Fixed Price,120383.91,0,120383.91,NA,2007,120383.91,FALSE,FALSE,Other/Unknown,FALSE
19980088,19980088002,"Ferro,James",Butler Township,BUTLER TWP GARAGE,No,"B&B Diversified Enterprises Inc,",2008-12-12,2009-07-29,Sole Source,NA,NA,Fixed Price,81347.13,0,81347.13,NA,2008,81347.13,FALSE,FALSE,Other/Unknown,FALSE
19980088,19980088003,"Ferro,James",Butler Township,BUTLER TWP GARAGE,No,"B&B Diversified Enterprises Inc,",2009-08-14,2009-11-18,Sole Source,NA,NA,Fixed Price,14393.7,0,14393.7,NA,2009,14393.7,FALSE,FALSE,Other/Unknown,FALSE
19980088,19980088004,"Ferro,James",Butler Township,BUTLER TWP GARAGE,Yes,"B&B Diversified Enterprises Inc,",2010-11-10,2017-07-19,Sole Source,NA,NA,Fixed Price,358269.67,0,363232.36,"Final milestone invoices processed and contract closed  7/19/2017 09:48:37 AM (dcassel)



Revised Milestone B3 per LC email to B&&B on 9/16/11.",2010,358269.67,FALSE,FALSE,Other/Unknown,TRUE
19980109,19980109001,"Marion,Shane",Shalls General Store,Shalls Gen Store,No,"MEA, Inc.,",2007-04-01,2009-08-01,Competitively Bid,NA,NA,Fixed Price,39530.8,0,17920.7,NA,2007,39530.8,FALSE,FALSE,Other/Unknown,FALSE
19980109,19980109002,"Marion,Shane",Shalls General Store,Shalls Gen Store,Yes,"MEA, Inc.,",2009-09-17,2020-05-14,Sole Source,NA,NA,Fixed Price,88157.18,342735.04,402614.02,"Final milestone invoice processed.  Contract closed.
5/14/2020 03:07:05 PM (dbollana)",2009,430892.22,FALSE,FALSE,Other/Unknown,TRUE
19980185,19980185001,"Goodyear,Jennifer",Palachicks General Store,PALACHICKS GEN STORE,Yes,"United Environmental Services, Inc.,",2009-03-27,2017-10-10,Sole Source,NA,NA,Fixed Price,138869.12,17244.23,149368.95,final invoice processed  10/10/2017 09:08:30 AM (dcassel),2009,156113.35,FALSE,FALSE,Other/Unknown,TRUE
19980188,19980188001,"Goodyear,Jennifer","TNT Enterprises, Inc.",TNT Enterprises,No,"Core Environmental Services, Inc.,",2014-03-06,2016-05-05,Competitively Bid,2012-04-26,Bid to Result,Fixed Price,76905.03,0,67281.77,NA,2014,76905.03,TRUE,FALSE,Bid-to-Result,FALSE
19980211,19980211001,"Mackewicz,Bonnie",Former McKitten Service Station,McKitten Svc Sta,Yes,"Core Environmental Services, Inc.,",2011-07-07,2020-01-29,Competitively Bid,2009-07-21,Defined Scope of Work,Fixed Price,39726.36,16482.4,56208.76,"Amendment #1 bring contract total to $56,208.76

Final milestone invoice processed/contract closed  1/28/2020 01:40:53 PM (dbollana)",2011,56208.76,FALSE,TRUE,Scope of Work,TRUE
19980215,19980215001,"Bilder,Jack",Kwik Fill S-088,KWIK FILL S 88,Yes,"Groundwater & Environmental Services, Inc.,",2007-06-01,2009-04-01,Sole Source,NA,NA,Fixed Price,NA,0,0,Contract closed prior to database.,2007,0,FALSE,FALSE,Other/Unknown,TRUE
19980216,19980216001,"Ferro,James",Kwik Fill M-063,KWIK FILL M 63,Yes,"Groundwater & Environmental Services, Inc.,",2007-06-25,2015-11-19,Sole Source,NA,NA,Fixed Price,471158,0,466489.4,NA,2007,471158,FALSE,FALSE,Other/Unknown,TRUE
19980219,19980219001,"Hawk,Gerald",Kwik Fill M-304,Kwik Fill M 304,No,"Letterle & Associates Inc,",2007-11-07,2017-05-15,Competitively Bid,NA,Defined Scope of Work,Fixed Price,171430,313779.18,315304.45,"Prorated 80%, Note L4 not completed.

According to status report dated 4/1/16,  contract was mutually terminated.  5/15/2017 08:51:14 AM (dcassel)",2007,485209.18,FALSE,TRUE,Scope of Work,FALSE
19980220,19980220001,"Hawk,Gerald",Kwik Fill S-124,KWIK FILL S 124,Yes,"Groundwater & Environmental Services, Inc.,",2014-01-09,2016-12-23,Competitively Bid,2010-08-12,Defined Scope of Work,Fixed Price,81135.55,0,61209.95,"Base Contract Price before optional milestones = $59,843.70",2014,81135.55,FALSE,TRUE,Scope of Work,TRUE
