facility_id,facility_name,client_id,client_name,region,tank_type,tank_seq,capacity_gallons,install_date,substance,component_code,component_desc,construction_desc,construction_comment,construction_detail,permit_status,tank_status,tank_age_years,install_year,is_single_wall,is_double_wall,is_fiberglass,wall_type,status_desc,is_underground
01-19560,KUHN BROS CROSS KEYS TRUCK STOP,165892,KUHN BROS CROSS KEYS TRUCK STOP INC,4300,UST,007,6000,1983-01-01,Used Oil (all forms),1,TANK CONSTRUCTION,1G,NA,STEEL W/PLASTIC OR FIBERGLASS JACKET (DOUBLE WALL),NA,W,42.99520876112252,1983,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-19560,KUHN BROS CROSS KEYS TRUCK STOP,165892,KUHN BROS CROSS KEYS TRUCK STOP INC,4300,UST,008,12000,1993-08-01,Kerosene,1,TANK CONSTRUCTION,1G,NA,STEEL W/PLASTIC OR FIBERGLASS JACKET (DOUBLE WALL),NA,W,32.41341546885695,1993,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-24750,CONEWAGO ENTERPRISES,78717,CONEWAGO ENTERPRISES INC,4300,UST,001,10000,1974-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,51.08008213552361,1974,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-24750,CONEWAGO ENTERPRISES,78717,CONEWAGO ENTERPRISES INC,4300,UST,001,10000,1974-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1I,NA,STEEL W/LINED INTERIOR,NA,W,51.08008213552361,1974,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-26086,GETTY 67626,186021,GETTY PETRO MKT INC,4300,UST,003,1000,1978-12-01,Kerosene,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,R,47.08008213552361,1978,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
01-29110,AGRICULTURAL COMMODITIES,39172,AGRIC COMMODITIES INC,4300,UST,002,4000,1980-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,45.07871321013005,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-29110,AGRICULTURAL COMMODITIES,39172,AGRIC COMMODITIES INC,4300,UST,003,4000,1980-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,45.07871321013005,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-29110,AGRICULTURAL COMMODITIES,39172,AGRIC COMMODITIES INC,4300,UST,004,4000,1980-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,45.07871321013005,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-29110,AGRICULTURAL COMMODITIES,39172,AGRIC COMMODITIES INC,4300,UST,005,4000,1980-12-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,45.07871321013005,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-29110,AGRICULTURAL COMMODITIES,39172,AGRIC COMMODITIES INC,4300,UST,001,10000,1972-12-01,Heating Oil,1,TANK CONSTRUCTION,1D,NA,UNPROTECTED STEEL (DOUBLE WALL),NA,W,53.07871321013005,1972,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-61639,CE WILLIAMS & SONS,25500,CE WILLIAMS SONS INC,4300,UST,002,4000,1968-06-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,57.57973990417522,1968,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
01-61639,CE WILLIAMS & SONS,25500,CE WILLIAMS SONS INC,4300,UST,001,4000,1968-06-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,57.57973990417522,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-00064,MCKEESPORT POST OFC,165276,ALLENTOWN POST OFC AIRPORT BRANCH,4500,UST,042,10000,1984-08-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,41.412731006160165,1984,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-00071,GLENSHAW POST OFC,165276,ALLENTOWN POST OFC AIRPORT BRANCH,4500,UST,034,10000,1982-03-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,43.832991101984945,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-01107,VALLEY PROTEINS PA INC,79698,VALLEY PROTEINS INC,4500,UST,002,10000,1985-01-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,40.993839835728956,1985,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-01107,VALLEY PROTEINS PA INC,79698,VALLEY PROTEINS INC,4500,UST,001,10000,1985-01-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,40.993839835728956,1985,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-01148,LANG MACH,124908,LANG MACH,4500,UST,001,3000,1976-06-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,49.57973990417522,1976,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02035,PETERMANS CAR CARE & TOWING,190942,LAWRENCE C PETERMAN,4500,UST,004,4000,1989-09-20,Diesel Fuel,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,36.276522929500345,1989,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02035,PETERMANS CAR CARE & TOWING,190942,LAWRENCE C PETERMAN,4500,UST,002,4000,1989-09-20,Gasoline,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,36.276522929500345,1989,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02035,PETERMANS CAR CARE & TOWING,190942,LAWRENCE C PETERMAN,4500,UST,003,4000,1989-09-20,Gasoline,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,36.276522929500345,1989,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02035,PETERMANS CAR CARE & TOWING,190942,LAWRENCE C PETERMAN,4500,UST,005,4000,1989-09-20,Kerosene,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,36.276522929500345,1989,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02035,PETERMANS CAR CARE & TOWING,190942,LAWRENCE C PETERMAN,4500,UST,001,8000,1962-12-01,Gasoline,1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),NA,W,63.08008213552361,1962,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02066,GUEST TRAILER RENTALS INC,189347,GUEST TRAILER RENTALS INC,4500,UST,002,5000,1981-10-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,44.24640657084189,1981,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02066,GUEST TRAILER RENTALS INC,189347,GUEST TRAILER RENTALS INC,4500,UST,001,5000,1981-10-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,44.24640657084189,1981,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02975,DENNY MACKIE,189546,JOAN M GAHAGAN,4500,UST,001,4000,1973-01-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,52.993839835728956,1973,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02975,DENNY MACKIE,189546,JOAN M GAHAGAN,4500,UST,002,6000,1973-01-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,52.993839835728956,1973,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-02975,DENNY MACKIE,189546,JOAN M GAHAGAN,4500,UST,003,8000,1973-01-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,52.993839835728956,1973,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-03301,UPPER ALLEGHENY JT SANI AUTH,62238,UPPER ALLEGHENY JT SANI AUTH,4500,UST,002,1000,1980-04-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,45.74674880219028,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-03301,UPPER ALLEGHENY JT SANI AUTH,62238,UPPER ALLEGHENY JT SANI AUTH,4500,UST,001,10000,1980-04-01,Diesel Fuel,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,45.74674880219028,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-03302,UPPER ALLEGHENY JT SANI AUTH PUMP STA,62238,UPPER ALLEGHENY JT SANI AUTH,4500,UST,001,4000,1980-04-01,Diesel Fuel,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,45.74674880219028,1980,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-03308,CTR IND OIL STORES WEST VIEW 18,304640,CTR INDEPENDENT OIL STORES LLC,4500,UST,004,550,1985-01-01,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,40.993839835728956,1985,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-03797,LOUIS AMOCO,191199,LOUIS TRAPIZONA,4500,UST,004,3000,1968-07-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,57.497604380561256,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03797,LOUIS AMOCO,191199,LOUIS TRAPIZONA,4500,UST,001,3000,1968-07-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,57.497604380561256,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03797,LOUIS AMOCO,191199,LOUIS TRAPIZONA,4500,UST,002,3000,1968-07-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,57.497604380561256,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03797,LOUIS AMOCO,191199,LOUIS TRAPIZONA,4500,UST,003,3000,1968-07-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,57.497604380561256,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03797,LOUIS AMOCO,191199,LOUIS TRAPIZONA,4500,UST,005,8000,1978-07-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,47.49897330595483,1978,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03824,GOLDEN OIL ANGOTTI TEXACO,164834,GOLDEN OIL CO,4500,UST,004,550,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03827,GOLDEN OIL COLLINS TEXACO,164834,GOLDEN OIL CO,4500,UST,006,550,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1C,NA,CATHODICALLY PROTECTED STEEL (IMPRESSED CURRENT),APPR,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03828,GOLDEN OIL,164834,GOLDEN OIL CO,4500,UST,005,550,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03828,GOLDEN OIL,164834,GOLDEN OIL CO,4500,UST,004,6000,NA,Diesel Fuel,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),WITHD,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03828,GOLDEN OIL,164834,GOLDEN OIL CO,4500,UST,001,6000,NA,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),WITHD,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03828,GOLDEN OIL,164834,GOLDEN OIL CO,4500,UST,002,6000,NA,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),WITHD,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03828,GOLDEN OIL,164834,GOLDEN OIL CO,4500,UST,003,6000,NA,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),WITHD,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03830,GOLDEN OIL TEXACO,259251,NILU ENTERPRISE INC,4500,UST,008,1000,1990-08-01,Used Oil (all forms),1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,35.41409993155373,1990,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-03837,GOLDEN OIL DIXON TEXACO,164834,GOLDEN OIL CO,4500,UST,006,550,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-04006,SOUTH FAYETTE TWP SCH DIST,179913,SOUTH FAYETTE TWP SCH DIST,4500,UST,001,5000,1980-08-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,45.412731006160165,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-04006,SOUTH FAYETTE TWP SCH DIST,179913,SOUTH FAYETTE TWP SCH DIST,4500,UST,002,5000,1980-10-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,45.24572210814511,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-04188,HADDADS,177181,HADDADS INC,4500,UST,004,550,1954-01-01,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,71.99452429842573,1954,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-04890,KNOLL AUTO SVC,307795,TKP INC,4500,UST,004,500,1968-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,57.07871321013005,1968,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-05275,MCMURRAY TEXACO,167030,KEHM OIL CO,4500,UST,004,550,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-05276,JOHNS AUTO SVC,167030,KEHM OIL CO,4500,UST,002,3000,NA,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-05276,JOHNS AUTO SVC,167030,KEHM OIL CO,4500,UST,003,4000,NA,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-05276,JOHNS AUTO SVC,167030,KEHM OIL CO,4500,UST,001,8000,NA,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,R,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-05334,LENNIX AUTO WORKS,184625,LENNIX AUTO WORKS,4500,UST,005,3000,1982-10-01,Kerosene,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,43.24709103353867,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-05581,TURTLE CREEK BORO ALLEGHENY CNTY,5953,TURTLE CREEK BORO ALLEGHENY CNTY,4500,UST,001,550,1974-01-01,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,51.99452429842574,1974,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-05581,TURTLE CREEK BORO ALLEGHENY CNTY,5953,TURTLE CREEK BORO ALLEGHENY CNTY,4500,UST,002,4000,1974-01-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,51.99452429842574,1974,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-05584,FORREST STEEL CORP,124930,FORREST STEEL CORP,4500,UST,001,3000,1980-06-01,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),APPR,R,45.57973990417522,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06375,CASPER COLOSIMO & SON,33996,CASPER COLOSIMO & SON INC,4500,UST,004,10000,1980-10-01,Diesel Fuel,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,R,45.24572210814511,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06375,CASPER COLOSIMO & SON,33996,CASPER COLOSIMO & SON INC,4500,UST,003,10000,1980-10-01,Gasoline,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,R,45.24572210814511,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06390,ROBERT M NEFF INC,191529,ROBERT M NEFF INC,4500,UST,001,10000,1982-12-01,Diesel Fuel,1,TANK CONSTRUCTION,1B,NA,CATHODICALLY PROTECTED STEEL (GALVANIC),NA,W,43.08008213552361,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06452,SIMS METAL MGMT,136017,METAL MGMT INC,4500,UST,002,2000,1993-10-19,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,32.19712525667351,1993,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06452,SIMS METAL MGMT,136017,METAL MGMT INC,4500,UST,004,4000,1982-03-04,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,43.82477754962355,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06452,SIMS METAL MGMT,136017,METAL MGMT INC,4500,UST,005,20000,1982-03-04,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,43.82477754962355,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06684,HAPPY MART,347853,S & D OIL INC,4500,UST,005,1000,1982-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,43.08008213552361,1982,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06821,EXXON RS 2 2362,157703,TRI STATE PETRO CORP,4500,UST,004,1000,1985-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1F,NA,FIBERGLASS (DOUBLE WALL),APPR,R,40.07939767282683,1985,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06843,EXXON RS 2 0584,190592,EXXONMOBIL OIL CORP,4500,UST,001,4000,1979-12-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,46.0807665982204,1979,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06843,EXXON RS 2 0584,190592,EXXONMOBIL OIL CORP,4500,UST,003,6000,1979-12-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,46.0807665982204,1979,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06843,EXXON RS 2 0584,190592,EXXONMOBIL OIL CORP,4500,UST,002,10000,1979-12-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,46.0807665982204,1979,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06843,EXXON RS 2 0584,190592,EXXONMOBIL OIL CORP,4500,UST,004,12000,1989-12-01,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,36.07939767282683,1989,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-06946,COEN MKT 1244,130077,COEN MKT INC,4500,UST,004,1000,1982-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,43.08008213552361,1982,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06966,UNIVERSITY EXXON 218,157703,TRI STATE PETRO CORP,4500,UST,004,1000,1985-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,40.07939767282683,1985,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-06982,FORMER EXXON MOBIL RETAIL STA 2 0589,157703,TRI STATE PETRO CORP,4500,UST,004,1000,1980-12-01,Used Oil (all forms),1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),APPR,R,45.07871321013005,1980,FALSE,FALSE,FALSE,Unknown/Other,R,TRUE
02-08016,SHENANGO,34421,SHENANGO INC,4500,UST,003,1800,NA,Gasoline,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-08016,SHENANGO,34421,SHENANGO INC,4500,UST,002,2000,NA,Diesel Fuel,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-08016,SHENANGO,34421,SHENANGO INC,4500,UST,001,15000,NA,Diesel Fuel,1,TANK CONSTRUCTION,1E,NA,FIBERGLASS (SINGLE WALL),NA,W,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-08101,AIRPORT AUTOMALL,190963,OLD AIRPORT AUTOMOBILE,4500,UST,002,500,NA,Used Oil (all forms),1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
02-08101,AIRPORT AUTOMALL,190963,OLD AIRPORT AUTOMOBILE,4500,UST,001,1000,NA,Gasoline,1,TANK CONSTRUCTION,1A,NA,UNPROTECTED STEEL (SINGLE WALL),NA,W,NA,NA,FALSE,FALSE,FALSE,Unknown/Other,Withdrawn,TRUE
