attributes_objectid,attributes_facility_id,attributes_facility_name,attributes_facility_address1,attributes_facility_address2,attributes_facility_city,attributes_facility_state,attributes_facility_zip,attributes_county_id,attributes_facility_county,attributes_municipality_id,attributes_facility_municipality,attributes_reg_expiration_date,attributes_tank_owner_id,attributes_tank_owner_name,attributes_tank_owner_address1,attributes_tank_owner_address2,attributes_tank_owner_city,attributes_tank_owner_state,attributes_tank_owner_zip,attributes_primary_facility_id,attributes_site_id,attributes_tank_information,.source,.downloaded_at
13,22-38923,KOPPYS PROPANE,8635 ROUTE 209,,WILLIAMSTOWN,PA,17098,2429,Dauphin,1039,Williams Twp,1780531200000,233075,KOPPYS PROPANE INC,PO BOX 36,,WILLIAMSTOWN,PA,17098-0036,651436,635456,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=22-38923&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
14,35-38982,SAMS CLUB 6581,921 VIEWMONT DR,,SCRANTON,PA,18519-1663,2442,Lackawanna,1391,Scranton City,1775260800000,187753,SAMS CLUB EAST INC,608 S WEST 8TH ST,,BENTONVILLE,AR,72716-0001,660503,504686,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=35-38982&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
15,45-38991,DELAWARE WATER GAP,ROUTE 611,RR 1 BOX 1291,STROUDSBURG,PA,18360,2452,Monroe,1785,Delaware Water Gap Boro,1775260800000,2432,FRANK MARTZ COACH CO,PO BOX 1007,,WILKES BARRE,PA,18703,661039,646478,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=45-38991&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
16,18-38994,FIRST QUALITY TISSUE,599 S HIGHLAND ST,,LOCK HAVEN,PA,17745-3432,2425,Clinton,860,Castanea Twp,1785801600000,209667,FIRST QUALITY TISSUE LLC,904 WOODS AVE,,LOCK HAVEN,PA,17745-3348,661148,269267,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=18-38994&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
17,13-39006,LAKESIDE GAS PLAZA,7605 INTERCHANGE RD,,LEHIGHTON,PA,18325,2420,Carbon,656,Towamensing Twp,1775260800000,364301,LAKESIDE GAS PLAZA LLC,7605 INTERCHANGE RD,,LEHIGHTON,PA,18235-5506,661827,647526,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=13-39006&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
18,59-39016,KWIK FILL M0390,4280 BLOSS MOUNTAIN RD,,BLOSSBURG,PA,16912-9606,2466,Tioga,2212,Blossburg Boro,1785801600000,237318,CENTREMARK INVESTMENT 1 LLC,3180 W COLLEGE AVE,STE 313,STATE COLLEGE,PA,16801,662224,648085,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=59-39016&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
19,46-39021,TURKEY HILL 269,1600 W HIGH ST,,STOWE,PA,19464-3759,2453,Montgomery,1854,Upper Pottsgrove Twp,1770163200000,343443,EG GROUP,165 FLANDERS RD,,WESTBOROUGH,MA,01581-1032,662662,648660,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-39021&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
20,22-39046,FEDEX FREIGHT INC HSG,300 FULLING MILL RD,,MIDDLETOWN,PA,17057-5950,2429,Dauphin,1022,Lower Swatara Twp,1780531200000,186522,FEDEX FREIGHT INC,2200 FORWARD DR,,HARRISON,AR,72601-2004,664815,533598,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=22-39046&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
21,10-39599,GETGO 3606,640 KELLY BLVD,,SLIPPERY ROCK,PA,16057,2417,Butler,509,Slippery Rock Boro,1796342400000,387260,GETGO OPER LLC,700 CRANBERRY WOODS DR,Attn: Compliance Manager,CRANBERRY TOWNSHIP,PA,16066-5213,695308,691655,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=10-39599&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
22,66-39605,PEN MART 210,ROUTE 6 & ROUTE 92S,LANEHILL ROAD,TUNKHANNOCK,PA,18657,2473,Wyoming,2498,Tunkhannock Twp,1775260800000,188404,PEN FERN OIL CO INC,1 STERLING AVE,,DALLAS,PA,18612-1517,695917,692438,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=66-39605&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
23,06-39612,LOWES OF ELVERSON 2476,250 CROSSINGS BLVD,,ELVERSON,PA,19520-9070,2413,Berks,325,Caernarvon Twp,1780531200000,239685,LOWES HOME CTR LLC,1605 CURTIS BRIDGE RD,,WILKESBORO,NC,28697-2231,696087,692676,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-39612&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
24,51-39597,PHILA VIDEO HUB OFC,17 E OREGON AVE,,PHILADELPHIA,PA,19148-4109,2458,Philadelphia,1975,Philadelphia City,1801699200000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,696655,693388,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-39597&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
25,52-39636,522 ROUTE 6 & 209 PROP,522 ROUTE 6 AND 209,,MILFORD,PA,18337-9414,2459,Pike,1984,Milford Twp,1775260800000,180075,SCIASCIA SHELLY,108 ESTATES BLVD,,MILFORD,PA,18337-7168,697447,532067,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=52-39636&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
26,21-39647,TURKEY HILL MINIT MKT 280,2060 GOOD HOPE RD,,ENOLA,PA,17025-1272,2428,Cumberland,976,Hampden Twp,1780531200000,343443,EG GROUP,165 FLANDERS RD,,WESTBOROUGH,MA,01581-1032,697800,694921,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=21-39647&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
27,39-39649,LOWES OF WHITEHALL PA 2763,2650 MACARTHUR RD,,WHITEHALL,PA,18052-3817,2446,Lehigh,1566,Whitehall Twp,1775260800000,239685,LOWES HOME CTR LLC,1605 CURTIS BRIDGE RD,,WILKESBORO,NC,28697-2231,697801,694922,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=39-39649&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
28,02-03830,GOLDEN OIL TEXACO,700 OLD CLAIRTON RD,,PLEASANT HILLS,PA,15236-4315,2409,Allegheny,100,Pleasant Hills Boro,1791072000000,259251,NILU ENTERPRISE INC,1 Ukani Drive,,BELLE VERNON,PA,15012,575517,561351,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-03830&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
29,02-04188,HADDADS,221 CURRY HOLLOW RD,,PLEASANT HILLS,PA,15236-4605,2409,Allegheny,100,Pleasant Hills Boro,1791072000000,177181,HADDADS INC,221 CURRY HOLLOW RD,,PLEASANT HILLS,PA,15236-4605,575537,561368,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-04188&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
30,02-04340,Ascendance Idealease,350 POPLAR ST,,PITTSBURGH,PA,15223-2219,2409,Allegheny,35,Pittsburgh  City,1791072000000,388018,ASCENDANCE TRUCKS LEASING LLC,1810 S 19th St,,HARRISBURG,PA,17104-3205,575539,245035,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-04340&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
31,02-04384,EAST ALLEGHENY SCH BUS GARAGE,119 WALL AVE,,WALL,PA,15148-1351,2409,Allegheny,114,Wilmerding Boro,1791072000000,128174,EAST ALLEGHENY SCH DIST,1150 JACKS RUN RD,,NORTH VERSAILLES,PA,15131,575540,507377,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-04384&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
32,03-06500,RED PAPRIKA FOODS,10243 STATE ROUTE 85,,KITTANNING,PA,16201-8165,2410,Armstrong,177,Cowanshannock Twp,1796342400000,367949,RED PAPRIKA FOODS LLC,10243 STATE RTE 85,,KITTANNING,PA,16201,578418,563521,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=03-06500&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
33,03-15317,PARMAR 62,1400 5TH AVE,,FORD CITY,PA,16226,2410,Armstrong,166,Ford City Boro,1796342400000,226036,SPC REALTY COMPANY,8199 MCKNIGHT RD,,PITTSBURGH,PA,15237-5749,578474,563570,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=03-15317&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
34,03-37962,PARKER COUNTRY MARKET,104 N RIVER AVE,,PARKER,PA,16049-8768,2410,Armstrong,192,Parker City,1764806400000,381780,OM SHIV KESHAV LLC,104 N RIVER AVE,,PARKER,PA,16049-8768,578575,563654,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=03-37962&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
36,04-08231,LOFTUS AUTO SVC,1100 MERCHANT ST,,AMBRIDGE,PA,15003-2344,2411,Beaver,211,Ambridge Boro,1791072000000,339238,LOFTUS AUTO SVC,101 LOFTUS DR,,MONACA,PA,15061,578774,563828,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=04-08231&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
37,06-40732,SPEEDWAY ONE,1392 BEN FRANKLIN HWY E,,DOUGLASSVILLE,PA,19518-1825,2413,Berks,318,Amity Twp,1780531200000,297888,SPEEDWAY ONE LLC,PO BOX 141,,DOUGLASSVILLE,PA,19518-0141,580477,515421,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-40732&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
38,06-41695,TOM MASANO,420 GREGG AVE,,READING,PA,19603,2413,Berks,302,Reading City,1780531200000,185979,TOM MASANO INC,PO BOX 590,,READING,PA,19607-0590,580606,511954,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-41695&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
39,06-43325,ROUTE 12 SUNOCO,200 WARREN ST,,READING,PA,19601-1724,2413,Berks,302,Reading City,1780531200000,385890,HARNOOR GASOLINE,1014-1018 N 13TH ST,,READING,PA,19604,580714,565291,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-43325&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
40,14-22720,HOSTERMAN & STOVER HDWR,5015 PENNS VALLEY RD,BOX 433,MILLHEIM,PA,16854-9620,2421,Centre,681,Penn Twp,1785801600000,185850,HOSTERMAN & STOVER HDWR INC,PO BOX 433,,MILLHEIM,PA,16854-0433,585398,568809,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-22720&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
41,14-22732,SUPERIOR PLUS ENERGY SVC REBERSBURG BULK,107 W MAIN ST,,REBERSBURG,PA,16872-9131,2421,Centre,677,Miles Twp,1785801600000,331189,MIRABITO HOLDINGS INC,PO BOX 5306,,BINGHAMTON,NY,13902-5306,585404,568813,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-22732&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
42,14-25268,INGRAMS MOBIL,150 NITTANY VALLEY DRIVE,,BELLEFONTE,PA,16823,2421,Centre,692,Walker Twp,1785801600000,189675,WILLIAM J INGRAM FUELS INC,4187 NITTANY VALLEY DR,,HOWARD,PA,16841-4110,585430,568832,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-25268&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
43,14-29362,CORNER MINIT MART,106 N ATHERTON ST,,STATE COLLEGE,PA,16801-3803,2421,Centre,658,State College Boro,1785801600000,117527,NITTANY OIL CO INC,321 N FRONT ST,,PHILIPSBURG,PA,16866-2135,585450,269849,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-29362&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
45,14-70313,MERRYMAN BLDG,501 ALDER ST,,PHILIPSBURG,PA,16866-1509,2421,Centre,684,Rush Twp,1785801600000,238502,JR LAND CO INC,2330 SIX MILE RD,,PHILIPSBURG,PA,16866-8203,585532,533624,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-70313&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
46,14-70532,MOSHANNON VALLEY PLT,1912 TYRONE PIKE,,PHILIPSBURG,PA,16866-8805,2421,Centre,684,Rush Twp,1785801600000,87712,PA AMER WATER CO,852 WESLEY DR,,MECHANICSBURG,PA,17055-4436,585554,568938,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-70532&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
48,14-70883,SNOW SHOE REFRACTORIES,895 CLARENCE RD,,CLARENCE,PA,16829-8111,2421,Centre,686,Snow Shoe Twp,1785801600000,256127,SNOW SHOE REFRACTORIES LLC,895 CLARENCE RD,,CLARENCE,PA,16829-8111,585585,241275,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-70883&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
50,14-71398,CLEVELAND BROS EQUIP,2955 STEWART DR,,STATE COLLEGE,PA,16801-7551,2421,Centre,665,College Twp,1785801600000,128755,CLEVELAND BROS EQUIP CO INC,5300 PAXTON ST,,HARRISBURG,PA,17111-2525,585643,511691,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-71398&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
51,14-71793,ANIMAL DIAG LAB,ORCHARD RD,,UNIVERSITY PARK,PA,16802,2421,Centre,665,College Twp,1785801600000,81628,PA STATE UNIV,201 OLD MAIN,,UNIVERSITY PARK,PA,16802-1503,585689,569056,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-71793&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
52,14-71845,CINTAS 536,2700 CAROLEAN INDUSTRIAL DR,,STATE COLLEGE,PA,16801-7543,2421,Centre,665,College Twp,1785801600000,265815,CINTAS CORP,1111 SMILE WAY,,YORK,PA,17404-1743,585696,514268,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=14-71845&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
54,08-33945,DANDY MINI MART 36 R,510 JAMES MONROE AVE,,MONROETON,PA,18832-8869,2415,Bradford,422,Monroe Boro,1785801600000,38175,DANDY MINI MARTS INC,6221 MILE LANE RD,,SAYRE,PA,18840-9454,774947,782109,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=08-33945&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
55,09-55359,ST LUKES UNIV HEALTH NETWORK BUCKS CNTY HOSP,3000 JOHN FRIES HWY,,QUAKERTOWN,PA,18951,2416,Bucks,483,Milford Twp,1770163200000,130,ST LUKES HEALTH NETWORK INC,801 OSTRUM ST,,BETHLEHEM,PA,18015-1000,831663,833950,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-55359&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
56,21-55218,GEODIS LOGISTICS,80 S MIDDLESEX RD,,CARLISLE,PA,17015,2428,Cumberland,981,Middlesex Twp,1780531200000,338049,GEODIS LOGISTICS LLC,7101 EXECUTIVE CENTER DR,,BRENTWOOD,TN,37027,826347,773169,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=21-55218&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
57,22-60463,STEVES GEN STORE,2985 ELIZABETHTOWN RD,,HERSHEY,PA,17033-9321,2429,Dauphin,1010,Conewago Twp,1780531200000,341323,STEVES GEN STORE INC,2985 ELIZABETHTOWN RD,,HERSHEY,PA,17033-9321,590316,455781,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=22-60463&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
58,23-34544,PA0202-MARCUS HOOK,2303 MARKET ST,,MARCUS HOOK,PA,19061-3821,2430,Delaware,1073,Upper Chichester Twp,1801699200000,341025,DUNNE MANNING REALTY LP,645 HAMILTON ST STE 400,,ALLENTOWN,PA,18101-2192,591228,515208,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-34544&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
59,17-55352,REV HOOPES TRUCKING,142 OWENS RD,,WOODLAND,PA,16881,2424,Clearfield,810,Bradford Twp,1785801600000,315137,REV HOOPES TRUCKING LLC,1002 EMPSON RD,,ULYSSES,PA,16948-9294,831131,833451,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=17-55352&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
60,51-55378,WAWA FOOD MKT 8104,5597 TULIP ST,,PHILADELPHIA,PA,19124-1562,2458,Philadelphia,1975,Philadelphia City,1770163200000,132506,WAWA INC,260 West Baltimore Pike,,WAWA,PA,19063,832420,834528,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-55378&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
61,41-55208,LOWES OF MONTOURSVILLE PA 356,701 N LOYALSOCK AVE,,MONTOURSVILLE,PA,17754-1021,2448,Lycoming,1644,Montoursville Boro,1785801600000,239685,LOWES HOME CTR LLC,1605 CURTIS BRIDGE RD,,WILKESBORO,NC,28697-2231,825937,829032,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=41-55208&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
62,43-55370,AVALON SPRINGS CARE CTR,745 GREENVILLE RD,,MERCER,PA,16137-5070,2450,Mercer,1723,Coolspring Twp,1764806400000,392648,AVALON SPRINGS CARE CTR,745 GREENVILLE RD,,MERCER,PA,16137-5070,832192,834358,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=43-55370&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
63,65-35810,KENNY ROSS FORD,ROUTE 30 AT BLACKHILL RD,104 BLACK HILL ROAD,ADAMSBURG,PA,15611,2472,Westmoreland,2433,Adamsburg Boro,1791072000000,181645,KENNY ROSS FORD INC,ROUTE 30,BLACKHILL RD,ADAMSBURG,PA,15611,614718,591648,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=65-35810&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
64,60-71234,PENSKE TRUCK LEASING,2727 OLD ROUTE 15,,WHITE DEER,PA,17887-0149,2467,Union,2262,White Deer Twp,1785801600000,111535,PENSKE TRUCK LEASING CO LP,PO BOX 7635,,READING,PA,19603-7635,612699,514470,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=60-71234&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
